Date,Team,Relinquished,Notes,Notes2
2001-02-18,Kings,Nick Anderson,placed on IL with lower back spasms,lower back spasms
2001-02-18,Lakers,Ron Harper (Sr.),placed on IL with sore left knee,sore left knee
2001-02-20,Magic,Pat Garrity,placed on IL with surgery on left knee (out 2-3 weeks),surgery on left knee (out 2-3 weeks)
2001-02-21,Spurs,Ira Newble,placed on IL with patella tendinitis,patella tendinitis
2001-02-22,Blazers,Will Perdue,placed on IL with strained left hamstring,strained left hamstring
2001-02-22,Knicks,Travis Knight,placed on IL with sprained left ankle,sprained left ankle
2001-02-22,Pistons,Jud Buechler,placed on IL with back spasms,back spasms
2001-02-22,Wizards,Rod Strickland,placed on IL with sore hamstrings,sore hamstrings
2001-02-23,Hawks,Theo Ratliff,placed on IL with a stress fracture in right wrist,a stress fracture in right wrist
2001-02-23,Mavericks,Calvin Booth,placed on IR with left elbow tendinitis,left elbow tendinitis
2001-02-23,Pistons,Kornel David,placed on IL with back spasms,back spasms
2001-02-23,Raptors,Mamadou N'diaye,placed on IL with strained groin,strained groin
2001-02-25,Cavaliers,Chucky Brown,placed on IL with sprained right ankle,sprained right ankle
2001-02-25,Knicks,Tyrone Bogues / Muggsy Bogues,placed on IL with sore right knee,sore right knee
2001-02-26,Celtics,Jerome Moiso,placed on IR with right infrapatella tendinitis,right infrapatella tendinitis
2001-02-26,Celtics,Kenny Anderson,placed on IL with sprained right ankle,sprained right ankle
2001-02-27,Mavericks,Obinna Ekezie,placed on IL with sprained right (left?) ankle,sprained right (left?) ankle
2001-02-28,Bulls,Khalid El-Amin,placed on IL with left knee tendinitis,left knee tendinitis
2001-02-28,Nuggets,Anthony Goldwire,placed on IL with sprained right wrist,sprained right wrist
2001-02-28,Rockets,Matt Bullard,placed on IR with stress fracture in back,stress fracture in back
2001-02-28,Warriors,Chris Mullin,placed on IL with strained lower back,strained lower back
2001-03-01,Bucks,Jerome Kersey,placed on IL with foot injury,foot injury
2001-03-02,Bulls,Dragan Tarlac,placed on IL with left ankle tendinitis,left ankle tendinitis
2001-03-02,Jazz,DeShawn Stevenson,placed on IL with right knee tendinitis,right knee tendinitis
2001-03-02,Wizards,Tyrone Nesby,placed on IL with sprained right ankle,sprained right ankle
2001-03-04,Knicks,Rick Brunson,placed on IL with plantar fasciatis in right foot,plantar fasciatis in right foot
2001-03-05,Blazers,Greg Anthony,placed on IL with sore right shoulder,sore right shoulder
2001-03-05,Grizzlies,Brent Price,placed on IR with right knee osteoarthritis,right knee osteoarthritis
2001-03-05,Pistons,Brian Cardinal,placed on IL with patella tendinitis in both knees,patella tendinitis in both knees
2001-03-05,Spurs,Jaren Jackson Sr.,placed on IL with strained right calf,strained right calf
2001-03-06,Knicks,Luc Longley,placed on IR with sprained left ankle / sore back,sprained left ankle / sore back
2001-03-06,Wizards,Chris Whitney,placed on IL with sprained left ankle,sprained left ankle
2001-03-07,76ers,Roshown McLeod,placed on IL with left leg injury,left leg injury
2001-03-07,Heat,Eddie Jones,placed on IR with dislocated left shoulder,dislocated left shoulder
2001-03-07,Pacers,Bruno Sundov,placed on IL with strained left groin,strained left groin
2001-03-08,Nuggets,Calbert Cheaney,placed on IL,placed on IL
2001-03-09,Hawks,Lorenzen Wright,placed on IL with a sprained right thumb,a sprained right thumb
2001-03-10,Pacers,Derrick McKey,placed on IL with strained lower back,strained lower back
2001-03-11,Celtics,Chris Carr (Dean),placed on IL with broken left thumb,broken left thumb
2001-03-11,Hornets,Eldridge Recasner,placed on IL with back spasms,back spasms
2001-03-12,Kings,Jabari Smith (Sr.),placed on IL with right knee tendinitis,right knee tendinitis
2001-03-13,Lakers,Mike Penberthy,placed on IL with strained right shoulder,strained right shoulder
2001-03-14,Spurs,Derrick Dial,placed on IL with sprained right wrist,sprained right wrist
2001-03-15,Rockets,Hakeem Olajuwon,placed on IR with blood clot in left leg,blood clot in left leg
2001-03-16,Blazers,Erick Barkley,placed on IL with sore left knee,sore left knee
2001-03-16,Bulls,Michael Ruffin,placed on IR with fractured left hand,fractured left hand
2001-03-16,Cavaliers,Cedric Henderson (E.),placed on IL with strained left groin,strained left groin
2001-03-16,Pacers,Lari Ketner,placed on IL with lower back spasms,lower back spasms
2001-03-16,Spurs,Ira Newble,placed on IR with sprained finger,sprained finger
2001-03-19,Pacers,Terry Mills,placed on IL with strained lower back,strained lower back
2001-03-20,Cavaliers,Robert Traylor / Tractor Traylor,placed on IL with lower back spasms,lower back spasms
2001-03-21,Mavericks,Gary Trent,placed on IR with sprained left toe,sprained left toe
2001-03-21,Nets,Jamie Feick,placed on IR with sore left Achilles tendon,sore left Achilles tendon
2001-03-23,Lakers,Tyronn Lue,placed on IL with sprained left ankle,sprained left ankle
2001-03-23,Pistons,Michael Curry,placed on IR with dislocated right thumb,dislocated right thumb
2001-03-24,Mavericks,Donnell Harvey,placed on IR with right elbow tendinitis,right elbow tendinitis
2001-03-25,Timberwolves,Anthony Peeler,placed on IL with sprained left ankle,sprained left ankle
2001-03-26,Cavaliers,Jim Jackson,placed on IR with plantar fasciitis in left foot,plantar fasciitis in left foot
2001-03-27,Bulls,Bryce Drew,placed on IR with right foot plantar fascia strain (torn per Bulls media guide),right foot plantar fascia strain (torn per Bulls media guide)
2001-03-27,Heat,Don MacLean,placed on IR with left knee/quadriceps tendinitis,left knee/quadriceps tendinitis
2001-03-27,Jazz,David Benoit,placed on IR with strained right deltoid muscle (sprained right ankle per P),strained right deltoid muscle (sprained right ankle per P)
2001-03-27,Rockets,Sean Colson,placed on IR with sore right foot,sore right foot
2001-03-28,Mavericks,Mark Bryant,placed on IL with sprained left thumb,sprained left thumb
2001-03-29,Bulls,Dragan Tarlac,placed on IR with sprained left ankle (sprained right ankle per Bulls media guide),sprained left ankle (sprained right ankle per Bulls media guide)
2001-03-30,Cavaliers,Cedric Henderson (E.),placed on IL with strained left groin,strained left groin
2001-03-30,Celtics,Jerome Moiso,placed on IR with right infrapatella tendonitis,right infrapatella tendonitis
2001-03-31,Warriors,Bob Sura,placed on IL with strained lower back,strained lower back
2001-04-02,Hornets,Lee Nailon,placed on IL with left knee tendinitis,left knee tendinitis
2001-04-03,Heat,Duane Causwell,placed on IL with sprained left ankle,sprained left ankle
2001-04-04,Magic,Darrell Armstrong,placed on IL with strained groin,strained groin
2001-04-04,Nuggets,Terry Davis,placed on IL with strained left calf,strained left calf
2001-04-05,Kings,Art Long,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2001-04-05,Rockets,Maurice Taylor,placed on IR with sore left & right Achilles tendon,sore left & right Achilles tendon
2001-04-06,76ers,Juan Sanchez / Pepe Sanchez,placed on IL with right knee tendinitis,right knee tendinitis
2001-04-06,Blazers,Shawn Kemp,"placed on IR, player checked into drug rehab program for cocaine abuse","placed on IR, player checked into drug rehab program for cocaine abuse"
2001-04-06,Mavericks,Greg Buckner,placed on IR with dislocated left kneecap,dislocated left kneecap
2001-04-06,Mavericks,Obinna Ekezie,placed on IL with left Achilles tendinitis,left Achilles tendinitis
2001-04-06,Timberwolves,Sam Jacobson,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2001-04-07,Celtics,Randy Brown,placed on IR with a right adductor strain,a right adductor strain
2001-04-07,Jazz,Quincy Lewis,placed on IL with tendinitis in both knees,tendinitis in both knees
2001-04-07,Knicks,Lavor Postell,placed on IL with strep throat,strep throat
2001-04-08,Pistons,Billy Owens,placed on IL with back spasms,back spasms
2001-04-10,Blazers,Bonzi Wells,placed on IL with torn ACL in left knee (out for season),torn ACL in left knee (out for season)
2001-04-10,Heat,Todd Fuller,placed on IL with left knee tendinitis,left knee tendinitis
2001-04-10,Hornets,Tim James,placed on IL with left knee tendinitis,left knee tendinitis
2001-04-10,Lakers,Isaiah Rider / J.R. Rider,placed on IL with back spasms,back spasms
2001-04-11,Jazz,Scott Padgett,placed on IL with strained right groin,strained right groin
2001-04-13,Bulls,Jamal Crawford,placed on IL with hyperextended left knee,hyperextended left knee
2001-04-14,Bucks,Tim Thomas,placed on IR with right shoulder subluxation,right shoulder subluxation
2001-04-15,Heat,Tim Hardaway Sr.,placed on IL with bruised left foot,bruised left foot
2001-04-15,Magic,Cory Alexander,placed on IL with bruised right foot,bruised right foot
2001-04-15,Sonics,Jelani McCoy,placed on IL with sprained left ankle,sprained left ankle
2001-04-16,Cavaliers,Vernell Coles / Bimbo Coles,placed on IL with sprained right thumb,sprained right thumb
2001-04-16,Clippers,Corey Maggette,placed on IL with strained right groin,strained right groin
2001-04-17,76ers,Allen Iverson,placed on IR with bursitis in right elbow,bursitis in right elbow
2001-04-17,Bucks,Jason Caffey,placed on IL with left knee tendinitis,left knee tendinitis
2001-04-17,Bucks,Sam Cassell,placed on IL with strained right hip flexor,strained right hip flexor
2001-04-17,Pacers,Derrick McKey,placed on IL with strained lower back,strained lower back
2001-04-17,Pacers,Sam Perkins,placed on IL with sprained left ankle,sprained left ankle
2001-04-18,76ers,Dikembe Mutombo,placed on IR with sprained left fifth toe,sprained left fifth toe
2001-04-18,Heat,Anthony Mason (Sr.),placed on IL with sprained left ankle,sprained left ankle
2001-04-18,Kings,Lawrence Funderburke,placed on IL with strained left groin,strained left groin
2001-04-18,Knicks,Marcus Camby,placed on IL with bruised left hip,bruised left hip
2001-04-18,Timberwolves,Kevin Garnett,placed on IL with bruised left calf,bruised left calf
2001-10-29,76ers,Alvin Jones,placed on IL with right knee tendinitis,right knee tendinitis
2001-10-29,76ers,Eric Snow,placed on IL with broken left thumb,broken left thumb
2001-10-29,76ers,Samuel Dalembert,placed on IL with left knee tendinitis,left knee tendinitis
2001-10-29,Blazers,Chris Dudley,placed on IR with right shoulder rotator cuff weakness,right shoulder rotator cuff weakness
2001-10-29,Blazers,Mitchell Butler,placed on IL with left knee/quadricaps tendinitis,left knee/quadricaps tendinitis
2001-10-29,Blazers,Rick Brunson,placed on IR with sprained left metatarsal,sprained left metatarsal
2001-10-29,Bucks,Darvin Ham,placed on IL recovering from surgery on right knee,placed on IL recovering from surgery on right knee
2001-10-29,Bulls,Eddie Robinson,placed on IR with non-acute fracture of left big toe,non-acute fracture of left big toe
2001-10-29,Bulls,Jamal Crawford,placed on IL with torn ACL in left knee,torn ACL in left knee
2001-10-29,Bulls,Ron Artest / Metta World Peace,placed on IL recovering from surgery on right ring finger,placed on IL recovering from surgery on right ring finger
2001-10-29,Cavaliers,Jeff Trepagnier,placed on IL with sprained left ankle,sprained left ankle
2001-10-29,Cavaliers,Tyrone Hill,placed on IL with back spasms,back spasms
2001-10-29,Cavaliers,Zydrunas Ilgauskas,placed on IL recovering from surgery on left foot (out until mid-Dec),placed on IL recovering from surgery on left foot (out until mid-Dec)
2001-10-29,Celtics,Randy Brown,placed on IR with pulled/strained right groin,pulled/strained right groin
2001-10-29,Celtics,Roshown McLeod,placed on IR with nerve damage in left leg,nerve damage in left leg
2001-10-29,Clippers,Harold Jamison,placed on IR with bruised left shin,bruised left shin
2001-10-29,Grizzlies,Antonis Fotsis,placed on IL with right knee tendinitis,right knee tendinitis
2001-10-29,Grizzlies,Bryant Reeves,placed on IL with back injury,back injury
2001-10-29,Hawks,Alan Henderson,placed on IL with right knee inflammation,right knee inflammation
2001-10-29,Heat,Chris Gatling,placed on IR with lack of conditioning,lack of conditioning
2001-10-29,Heat,Ernest Brown,placed on IR with dislocated/jammed right thumb,dislocated/jammed right thumb
2001-10-29,Heat,Malik Allen,placed on IL with sprained right ankle,sprained right ankle
2001-10-29,Hornets,George Lynch,placed on IR with surgery on left foot,surgery on left foot
2001-10-29,Hornets,Jerome Moiso,placed on IL with back spasms / left knee tendinitis (P),back spasms / left knee tendinitis (P)
2001-10-29,Hornets,Kirk Haston,placed on IL with back spasms,back spasms
2001-10-29,Jazz,Jarron Collins,placed on IL with sprained left thumb,sprained left thumb
2001-10-29,Kings,Chris Webber,placed on IL with sprained left ankle,sprained left ankle
2001-10-29,Knicks,Larry Robinson (b. 1968-01-11),placed on IL with right knee patella tendinitis,right knee patella tendinitis
2001-10-29,Knicks,Marcus Camby,placed on IL with plantar fasciatis in left foot,plantar fasciatis in left foot
2001-10-29,Lakers,Derek Fisher,placed on IL with fractured right foot,fractured right foot
2001-10-29,Lakers,Joe Crispin,placed on IR with injured knee / surgery on left wrist (P),injured knee / surgery on left wrist (P)
2001-10-29,Lakers,Mark Madsen,placed on IL with abdominal strain / right knee tendinitis (P),abdominal strain / right knee tendinitis (P)
2001-10-29,Magic,Jeryl Sasser,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2001-10-29,Magic,Mike Miller,placed on IL with chip fracture in right foot,chip fracture in right foot
2001-10-29,Mavericks,Darrick Martin,placed on IL with broken right hand,broken right hand
2001-10-29,Mavericks,Eduardo Najera,placed on IL with left knee tendinitis,left knee tendinitis
2001-10-29,Mavericks,Ruben Wolkowyski,placed on IL with sprained right ankle,sprained right ankle
2001-10-29,Nets,Brian Scalabrine,placed on IL with broken right foot,broken right foot
2001-10-29,Nets,Jamie Feick,placed on IL,placed on IL
2001-10-29,Nuggets,Antonio McDyess,placed on IR recovering from knee surgery,placed on IR recovering from knee surgery
2001-10-29,Nuggets,Calbert Cheaney,placed on IL with sprained left knee,sprained left knee
2001-10-29,Nuggets,Kenny Satterfield,placed on IR with sprained thumb,sprained thumb
2001-10-29,Pacers,Jamison Brewer,placed on IL with sprained right toe,sprained right toe
2001-10-29,Pacers,Norm Richardson,placed on IL with sprained left ankle,sprained left ankle
2001-10-29,Pistons,Brian Cardinal,placed on IL with tendinitis in both knees,tendinitis in both knees
2001-10-29,Pistons,Damon Jones,placed on IL with right knee tendinitis,right knee tendinitis
2001-10-29,Pistons,Ratko Varda,placed on IL with back spasms,back spasms
2001-10-29,Raptors,Dell Curry,placed on IL with strained left hamstring,strained left hamstring
2001-10-29,Raptors,Mamadou N'diaye,placed on IL with lower back injury,lower back injury
2001-10-29,Raptors,Michael Stewart,placed on IL with sore left knee,sore left knee
2001-10-29,Rockets,Dan Langhi,placed on IL with sprained right ankle,sprained right ankle
2001-10-29,Rockets,Jason Collier,placed on IL with medial tibial periostitis,medial tibial periostitis
2001-10-29,Rockets,Maurice Taylor,placed on IL with torn right Achilles tendon,torn right Achilles tendon
2001-10-29,Sonics,Predrag Drobnjak / Peja Drobnjak,placed on IL with sprained left ankle,sprained left ankle
2001-10-29,Sonics,Shammond Williams,placed on IR with fractured left ring finger,fractured left ring finger
2001-10-29,Spurs,Charles Smith (Cornelius),placed on IL,placed on IL
2001-10-29,Spurs,Mark Bryant,placed on IL,placed on IL
2001-10-29,Suns,Dan Majerle,placed on IL with fractured right ring finger,fractured right ring finger
2001-10-29,Suns,Daniel Santiago,placed on IL with plantar fasciatis,plantar fasciatis
2001-10-29,Suns,Vinny Del Negro,placed on IL with foot injury,foot injury
2001-10-29,Timberwolves,Maurice Evans,placed on IL with leg injury,leg injury
2001-10-29,Timberwolves,Tom Hammonds,placed on IL with knee injury,knee injury
2001-10-29,Timberwolves,William Avery / Will Avery,placed on IL with knee injury,knee injury
2001-10-29,Warriors,Cedric Henderson (E.),placed on IL with left knee tendinitis,left knee tendinitis
2001-10-29,Warriors,Dean Oliver,placed on IL with strained right hamstring,strained right hamstring
2001-10-29,Wizards,Brendan Haywood,placed on IL with torn ligament in left thumb,torn ligament in left thumb
2001-10-29,Wizards,Hubert Davis,placed on IR with torn right hamstring,torn right hamstring
2001-10-29,Wizards,Loy Vaught,placed on IL with lower back spasms,lower back spasms
2001-11-01,Celtics,Joseph Forte,placed on IL with lower back spasms,lower back spasms
2001-11-05,Hawks,Theo Ratliff,placed on IL with strained right hip flexor and groin pull,strained right hip flexor and groin pull
2001-11-06,Hawks,Toni Kukoc,placed on IR with a strained left / right (P) quadriceps,a strained left / right (P) quadriceps
2001-11-06,Sonics,Antonio Harvey,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2001-11-07,Cavaliers,Bryant Stith,placed on IR with right hip flexor injury,right hip flexor injury
2001-11-08,Mavericks,Evan Eschmeyer,placed on IL with sprained left ankle,sprained left ankle
2001-11-08,Suns,Charlie Bell,placed on IL with sprained left ankle,sprained left ankle
2001-11-08,Warriors,Gilbert Arenas,placed on IL with strained lower back,strained lower back
2001-11-09,76ers,Matt Geiger,placed on IL with patella femoral arthritis in both knees,patella femoral arthritis in both knees
2001-11-09,Grizzlies,Michael Dickerson,placed on IL with strained right abductor,strained right abductor
2001-11-09,Magic,Monty Williams,placed on IL with strained right hamstring,strained right hamstring
2001-11-10,Bulls,A.J. Guyton,placed on IL with left ankle tendinitis,left ankle tendinitis
2001-11-10,Hawks,Shareef Abdur-Rahim,placed on IL with sprained left knee,sprained left knee
2001-11-10,Heat,Kendall Gill,placed on IR with fractured left pinky,fractured left pinky
2001-11-10,Pistons,Victor Alexander,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2001-11-11,Sonics,Vin Baker,placed on IL with bruised left knee,bruised left knee
2001-11-13,Blazers,Damon Stoudamire,placed on IL with right knee tendinitis,right knee tendinitis
2001-11-13,Hawks,Chris Crawford (Lee),placed on IL with a torn ACL in left knee,a torn ACL in left knee
2001-11-13,Mavericks,Eduardo Najera,placed on IL with bruised right knee,bruised right knee
2001-11-14,Celtics,Eric Williams,placed on IL with left knee tendinitis,left knee tendinitis
2001-11-14,Raptors,Jerome Williams,placed on IL with bruised right knee,bruised right knee
2001-11-15,Clippers,Keyon Dooling,placed on IL with high left ankle sprain (out 4-6 weeks),high left ankle sprain (out 4-6 weeks)
2001-11-15,Heat,Brian Grant,placed on IR with bone bruise in right instep,bone bruise in right instep
2001-11-16,Wizards,Tyronn Lue,placed on IL with sprained ligaments in right hand,sprained ligaments in right hand
2001-11-17,Celtics,Roshown McLeod,placed on IR with lower left leg nerve damage,lower left leg nerve damage
2001-11-17,Jazz,Bryon Russell,placed on IL with strained groin,strained groin
2001-11-17,Pacers,Travis Best,placed on IL with strained right hamstring,strained right hamstring
2001-11-17,Rockets,Tierre Brown,placed on IL with plantar fasciatis in left foot,plantar fasciatis in left foot
2001-11-19,Grizzlies,Antonis Fotsis,placed on IL with right knee tendinitis,right knee tendinitis
2001-11-20,Blazers,Scottie Pippen (Sr.),placed on IL with bruised right knee,bruised right knee
2001-11-20,Heat,Ernest Brown,placed on IR with jammed right thumb,jammed right thumb
2001-11-20,Hornets,Jamal Mashburn,placed on IL with pulled right groin,pulled right groin
2001-11-20,Mavericks,Omar Cook,placed on IL with left knee tendinitis,left knee tendinitis
2001-11-20,Sonics,Jerome James,placed on IL with sprained right foot,sprained right foot
2001-11-21,Bulls,Eddie Robinson,placed on IR with left toe sesamoiditis,left toe sesamoiditis
2001-11-21,Nuggets,Zendon Hamilton,placed on IL with sprained right wrist,sprained right wrist
2001-11-21,Spurs,Stephen Jackson,placed on IL with patella tendinitis,patella tendinitis
2001-11-22,Knicks,Clarence Weatherspoon,placed on IL with partially torn peroneal tendon in right foot,partially torn peroneal tendon in right foot
2001-11-22,Raptors,Michael Bradley,placed on IL with bruised right clavicle,bruised right clavicle
2001-11-23,76ers,Alvin Jones,placed on IL with sprained left ankle,sprained left ankle
2001-11-23,Blazers,Ruben Boumtje Boumtje,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2001-11-23,Mavericks,Wang Zhizhi / Wang Zhi-Zhi,placed on IL with right Achilles tendinitis,right Achilles tendinitis
2001-11-23,Nuggets,Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IL with surgery on left knee,surgery on left knee
2001-11-25,Lakers,Jelani McCoy,placed on IL with bone bruise in right foot,bone bruise in right foot
2001-11-25,Sonics,Antonio Harvey,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2001-11-26,Knicks,Larry Robinson (b. 1968-01-11),placed on IL with right knee patella tendinitis,right knee patella tendinitis
2001-11-26,Wizards,Bobby Simmons,placed on IL with knee tendinitis,knee tendinitis
2001-11-27,Celtics,Walter McCarty,placed on IL with sprained left big toe,sprained left big toe
2001-11-27,Mavericks,Greg Buckner,placed on IL with sore left knee,sore left knee
2001-11-27,Rockets,Steve Francis,placed on IL with plantar fasciatis in left foot (out 4-6 weeks),plantar fasciatis in left foot (out 4-6 weeks)
2001-11-28,Bucks,Greg Foster,placed on IR with cervical bulging disc,cervical bulging disc
2001-11-28,Wizards,Tyrone Nesby,placed on IL with strained lower back,strained lower back
2001-12-01,Blazers,Erick Barkley,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2001-12-01,Cavaliers,Michael Doleac,placed on IR with stress fracture of left ankle,stress fracture of left ankle
2001-12-01,Pacers,Carlos Rogers,placed on IL with upper respiratory infection,upper respiratory infection
2001-12-02,Mavericks,Donnell Harvey,placed on IL with bruised ribs,bruised ribs
2001-12-03,Cavaliers,Jeff Trepagnier,placed on IL with right knee tendinitis,right knee tendinitis
2001-12-04,Heat,Malik Allen,placed on IR with left knee/quadricep tendinitis,left knee/quadricep tendinitis
2001-12-04,Nuggets,Chris Andersen,placed on IL with strained left shoulder,strained left shoulder
2001-12-04,Sonics,Desmond Mason,placed on IR with bruised/sprained right knee,bruised/sprained right knee
2001-12-05,Celtics,Joseph Forte,placed on IL with a sprained right ankle,a sprained right ankle
2001-12-06,Grizzlies,Lorenzen Wright,placed on IR with fractured bone in left knee (out indefinitely),fractured bone in left knee (out indefinitely)
2001-12-07,Celtics,Randy Brown,placed on IL with strained right groin,strained right groin
2001-12-07,Magic,Grant Hill,placed on IR with sprained/sore left foot,sprained/sore left foot
2001-12-09,Kings,Lawrence Funderburke,placed on IL with right Achilles tendinitis,right Achilles tendinitis
2001-12-09,Raptors,Carlos Arroyo,placed on IL with right Achilles tendinitis,right Achilles tendinitis
2001-12-10,76ers,Craig Claxton / Speedy Claxton,placed on IL with sprained left ankle,sprained left ankle
2001-12-11,Wizards,Courtney Alexander,placed on IL with bruised left shin and sprained left ankle,bruised left shin and sprained left ankle
2001-12-12,Sonics,Calvin Booth,placed on IL with sprained right ankle,sprained right ankle
2001-12-12,Timberwolves,Felipe Lopez,placed on IL with bruised left hip,bruised left hip
2001-12-13,Pacers,Primoz Brezec,placed on IL with sprained right ankle,sprained right ankle
2001-12-14,Blazers,Scottie Pippen (Sr.),placed on IL with bruised right knee,bruised right knee
2001-12-14,Wizards,Christian Laettner,placed on IR with fractured left leg,fractured left leg
2001-12-15,Blazers,Chris Dudley,placed on IR with right shoulder rotator cuff weakness,right shoulder rotator cuff weakness
2001-12-15,Mavericks,Johnny Newman,placed on IL with left knee tendinitis,left knee tendinitis
2001-12-15,Spurs,Danny Ferry,placed on IL with lower back spasms,lower back spasms
2001-12-18,Heat,Sean Marks,placed on IR with cervican strain,cervican strain
2001-12-18,Rockets,Glen Rice (Sr.),placed on IR with strained patellar tendon in right knee,strained patellar tendon in right knee
2001-12-18,Timberwolves,Terrell Brandon,placed on IR with synovitis / loose body in left knee,synovitis / loose body in left knee
2001-12-20,Bulls,A.J. Guyton,placed on IL with strained left hamstring,strained left hamstring
2001-12-20,Clippers,Harold Jamison,placed on IR with bruised left shin,bruised left shin
2001-12-20,Raptors,Chris Childs,placed on IR with sore right ankle,sore right ankle
2001-12-21,Heat,Anthony Carter,placed on IL with abdominal strain,abdominal strain
2001-12-21,Jazz,Quincy Lewis,placed on IL with left Achilles tendinitis,left Achilles tendinitis
2001-12-21,Spurs,Jason Hart,placed on IL with strained lower back,strained lower back
2001-12-22,Magic,Steven Hunter,placed on IL with plantar fasciatis in right foot,plantar fasciatis in right foot
2001-12-25,Lakers,Shaquille O'Neal,placed on IR with sore left toe / right big toe (P),sore left toe / right big toe (P)
2001-12-26,Wizards,Richard Hamilton,placed on IR with partially torn right groin,partially torn right groin
2001-12-27,Suns,Iakovos Tsakalidis / Jake Tsakalidis,placed on IL with sprained right hand,sprained right hand
2001-12-28,Raptors,Hakeem Olajuwon,placed on IL with infected toe on left foot,infected toe on left foot
2001-12-28,Rockets,Dan Langhi,placed on IL with left ankle tendinitis,left ankle tendinitis
2001-12-29,Mavericks,Donnell Harvey,placed on IL with sprained right ankle,sprained right ankle
2001-12-29,Mavericks,Evan Eschmeyer,placed on IL with sprained left ankle,sprained left ankle
2001-12-30,76ers,Damone Brown,placed on IL with strained lower back,strained lower back
2001-12-30,Blazers,Mitchell Butler,placed on IL with sprained left knee,sprained left knee
2001-12-30,Timberwolves,Maurice Evans,placed on IR with posterior tibialis tendinitis in left knee,posterior tibialis tendinitis in left knee
2002-01-01,Blazers,Zach Randolph,placed on IL with sprained right ankle,sprained right ankle
2002-01-02,Mavericks,Shawn Bradley,placed on IL with bone bruise in right knee,bone bruise in right knee
2002-01-02,Raptors,Michael Stewart,placed on IL,placed on IL
2002-01-02,Warriors,Cedric Henderson (E.),placed on IL with left knee tendinitis,left knee tendinitis
2002-01-03,Bulls,Dalibor Bagaric,placed on IL with lower back pain,lower back pain
2002-01-04,Cavaliers,Trajan Langdon,placed on IL with sprained right ankle,sprained right ankle
2002-01-04,Lakers,Jelani McCoy,placed on IL with bone bruise in right foot,bone bruise in right foot
2002-01-04,Magic,Jeryl Sasser,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2002-01-04,Raptors,Morris Peterson,placed on IL with broken right index finger (out 6-8 weeks),broken right index finger (out 6-8 weeks)
2002-01-05,Pistons,Rodney White,placed on IL with sprained left ankle,sprained left ankle
2002-01-07,Magic,Patrick Ewing Sr.,placed on IR with right calf / Achilles tendinitis,right calf / Achilles tendinitis
2002-01-08,Mavericks,Michael Finley,placed on IL with strained left hamstring,strained left hamstring
2002-01-08,Suns,Tom Gugliotta,placed on IL with left quadriceps tendinitis,left quadriceps tendinitis
2002-01-09,Hawks,Chris Crawford (Lee),placed on IL with a torn ACL in left knee,a torn ACL in left knee
2002-01-09,Pacers,Jamison Brewer,placed on IL with strained right groin,strained right groin
2002-01-10,Hawks,Toni Kukoc,placed on IL with broken right wrist,broken right wrist
2002-01-10,Pistons,Dana Barros,placed on IR with pulled left hamstring,pulled left hamstring
2002-01-10,Raptors,Mamadou N'diaye,placed on IL with left quadriceps tendinitis,left quadriceps tendinitis
2002-01-11,Spurs,Bruce Bowen,placed on IR with broken right middle finger,broken right middle finger
2002-01-12,Knicks,Travis Knight,placed on IL with bruised right knee,bruised right knee
2002-01-12,Timberwolves,Gary Trent,placed on IR with high left ankle sprain,high left ankle sprain
2002-01-12,Wizards,Courtney Alexander,placed on IL with sprained left ankle,sprained left ankle
2002-01-13,Blazers,Ruben Boumtje Boumtje,placed on IL with sprained left ankle,sprained left ankle
2002-01-14,76ers,Jabari Smith (Sr.),placed on IL with left knee tendinitis,left knee tendinitis
2002-01-14,Hawks,Emanual Davis,placed on IR with a broken navicular bone in left wrist,a broken navicular bone in left wrist
2002-01-14,Mavericks,Charlie Bell,placed on IL with sprained right ankle,sprained right ankle
2002-01-14,Warriors,Mookie Blaylock,placed on IL with strained right calf,strained right calf
2002-01-15,Bulls,A.J. Guyton,placed on IL with left elbow bursitis,left elbow bursitis
2002-01-15,Hornets,Jerome Moiso,placed on IL with left knee tendinitis,left knee tendinitis
2002-01-15,Spurs,(William) Tony Parker,placed on IL with sprained right ankle,sprained right ankle
2002-01-17,Rockets,Walt Williams,placed on IL with sprained right ankle,sprained right ankle
2002-01-19,Knicks,Larry Robinson (b. 1968-01-11),placed on IL with right knee patella tendinitis,right knee patella tendinitis
2002-01-19,Timberwolves,William Avery / Will Avery,placed on IL,placed on IL
2002-01-21,Cavaliers,Lamond Murray,placed on IR with broken nose,broken nose
2002-01-23,Hornets,Robert Traylor / Tractor Traylor,placed on IL with sprained right ankle,sprained right ankle
2002-01-23,Jazz,Donyell Marshall,placed on IL with bruised right hip,bruised right hip
2002-01-24,Clippers,Lamar Odom,placed on IL with sprained right wrist,sprained right wrist
2002-01-24,Mavericks,Greg Buckner,placed on IR with left calf strain,left calf strain
